Created-Date,Tweet,Sentiment
8/1/2021 16:45,پيارا سنجي اوهان پاڻ نيڪ نانوَ آهيو. اها اوهان جي پنھنجي عزت آهي جيڪا ڏيو ٿا. مان خادم. ️ ,
8/1/2021 16:37,هڪڙي ننڍڙي ڳالهہ مونکي هيءَ ماءُ منھنجي سمجهائي آ، ,
8/1/2021 7:57,سئو سيڪڙو سچ ,
8/1/2021 7:51,جاني اوھان ھڪ ئي جبردست مثال ڏئي ڇڏيو... ڀوجپوري سئنيما... ,
8/1/2021 7:46,منھنجا سائين، اوھان کي جنم ڏھاڙي جون لک لک واڌايون قبول ھجن. شل ٻچڙن سان سدا سلامت  جڙيا ھجو. آمين ,
8/1/2021 7:28,اوھان جيڪڏھن خريدار آھيو تہ مارڪيٽ ڪراچيءَ جو ھجي يا ڪنريءَ جو، صرف سنڌيءَ  ,
7/31/2021 21:39,سنڌي لفظ اڻ ڄاڻ ھجي يا انگريزيءَ جو لفظ Unknown، پوي ٿي ڪل ڪا؟ ,
7/31/2021 21:23,ھر چہ شداز سبحہ و سجادہ شد ,
7/31/2021 10:10,منھنجا سائين، پِسُ يا کَڙُ، تازي ويايل ڳئون، مينهن، ٻڪريءَ وغيرہ جو پھرئين ڏينھن وارو کير جو ڪاڙهڻ سا… ,
7/31/2021 5:35,سنڌ سلامت ڪتاب گهر پاران شاعري  ناٽڪ جي فن تي نامياري اسڪالر  فلاسافر ارسطو جي لکيل ڪتاب”Poetics”  جو سنڌي ترجمو اوھان… ,
7/31/2021 5:31,پہلے تو اس عورت سے پوچھا جائے کہ آپ شعور کہتی کسے ہیں؟ ایسا بھی تو ہوسکتا ہے نا کہ یہ جسے شعور کہتی ہے… ,
7/31/2021 5:23,جزاک الله... ڈھیروں احترام آپ کے لیے مادام۔ اس کے لیے دعا کیجیے۔ آپ بھی سدا سکھی رہیں۔ آمین ,
7/30/2021 18:01,کیمسٹری کی شادی کمپیوٹر سائنس سے۔ ,
7/30/2021 17:48,نانی کہا کرتی تھیں کہ جو آدمی دوسروں کو کچھ کہتا ہے درحقیقت وہ خود ہوتا ہے۔ ,
7/30/2021 17:47,"اس خاتون سے کوئی یہ پوچھے کہ پنجابی زبان میں ""اپنی منجی تھلے ڈانگ پھیرنا"" کس کو کہتے ہیں؟ ",
7/30/2021 15:12,مان اھا بہ ڳالهہ محسوس ڪئي آھي تہ ڪي معاشرا اڃا تائين ڳالهير طبيعت جا آھن. ج… ,
7/30/2021 15:05,مٺا مان ڊگهي لکڻين لاءِ چيو تہ اهو پليٽ فارم ٺيڪ آ. ٽويٽر پتڪڙي ڳالهين  وڏن لفظن جو پليٽ فارم آ. ,
7/30/2021 14:56,ان لاءِ منھنجي خيال  فيس بڪ کان وڌيڪ ڪو ٻيو آپشن ناهي. ,
7/30/2021 6:15,سائين مان ناراض ناھيان ٿيو. ھا باقي ھڪ ڊاڪٽر ھٿاران اعتراض رکڻ جي سليقي نہ ھئڻ تي عجب لڳم.… ,
7/30/2021 6:12,نوے فیصد؟ ارے بابا 99۔9999 فیصد ,
7/30/2021 6:09,واہ۔ سر جی اب سمجھ ,
7/30/2021 5:59,سر جی۔ میرا خیال ہے ہماری تشریحات میں بڑی ڈنڈی ماری گئی ہے۔ اب تھوڑا دھیان سے میری بات سمجھئ… ,
7/30/2021 5:55,اھو سلسلو يڪو ھتي ھلي رھيو آھي سونھن سانئڻ. جيڪڏھن نہ گھرائي  وڃبو تہ قسم سان اھڙا اھڙا نالا ايندا جو… ,
7/30/2021 5:53,ابا اوھان نہ ٿيو متفق سائين.. مان ڪو ڏنڊو کنيو آھي ڇا؟ منھنجو بہ اھو ئي خيال آھي. اوھان جو… ,
7/30/2021 5:39,ابا معذرت ڇو ٿا ڪريو سائين.. ڪجهہ ٻين شين کي بہ جڳھ ڏيو. سائنس جو قطعي مقصد اھو ناھي تہ سڀ… ,
7/29/2021 17:27,سمیٹ لے وہ منافع ,
7/29/2021 16:13,اصل صفا لش  ,
7/29/2021 15:48,دیوی، میں آج اس بات پر پہنچا ہوں کہ انسان کسی ناویدہ وجود کی طرف بد دعائوں سے گھرا ہوا ہے۔ اسی لیے یہ ک… ,
7/29/2021 15:42,سائين ڏٺل آھي ,
7/29/2021 15:40,پيارا ڀڳوان بھرا ڏيندوَ... واھ جو ڪم پي… ,
7/29/2021 15:39,سائين اھي ساءِ فاءِ فلمون شوق سان ڏسندو رھيو آھيان، اھا اڳ ئي ڏٺل آھي. ھاڻي وقت جي کوٽ جي… ,
7/29/2021 15:18,ڊي ويوِ. ڪوانٽم ڪمپيوٽر ,
7/29/2021 15:13,سائين مان خادم. حاضر آھيان. پر ھلندي ڊي ويوِ ڪوانٽم ڪمپيوٽنگ باري  ھي پيج ڏسي ڇڏيو. ,
7/29/2021 14:57,پيارا سائين اھي پاڻ يعني اوھان اسان لاءِ آھن. اصل ڳالهہ اڃا ٻي آھي. مصنوعي ذھانت جيڪا اوھان اسان پر… ,
7/29/2021 14:55,اوھان کي اھو ٻڌي حيرت ٿيندي تہ مذھب  سائنس، ٻئي ان ڳالهہ تي متفق آھن تہ انسان ھن ڌرتيءَ تي ڦٽي ڪيو ويو آ… ,
7/29/2021 9:55,انسان جي ارڪانن مان ھن مھل تائين تہ اھو ئي ٿو لڳي تہ ھي ڌرتي دشمن آھي. ھي صرف ڇنن ڄاڻي. ڏيڻ ماڳھين ڪ… ,
7/29/2021 8:04,ائين ھن سرسبز ڌرتيءَ تي اڄاتو انسان جو ڦر اچي وارد ٿيو، جيڪو ھتان جو بہ نہ ھئو. ,
7/29/2021 7:54,واھ... جڳ جڳ جيئين پيارا ,
7/29/2021 6:01,نيت بَٺي  ڌيرج وري سوناري مثال ٿئي. ,
7/28/2021 8:33,خدا جب اپنا کرتا ہے تب مکڑی کا جالا بہت ہوتا ہے، کبوتری کے انڈے ہی کافی ہوتے ,
7/28/2021 8:24,او بابا. پليز ھي گوريون وٺي پاڻ سان سدائين لاءِ رکي ڇڏيو. جڏھن بہ اڌ مٿي جي سور جا آثار شروع ٿين ٺيڪ ان… ,
7/27/2021 15:40,جام خوشي ٿي.. جديديت  جديد رٿائن تي سنڌي ٻوليءَ  هن قسم جي ليکن جي شديد ضرورت آهي. اوهان بابا زبردست اصل صفا من ڪ… ,
7/26/2021 9:58,ڪافي قدر امان صحيح پئي چوي… ,
7/26/2021 9:13,جيڪڏھن اسان لطيف جي ھِنن سٽن مطابق ھلون تہ ھوند اسان ڏُکيا ئي نہ ٿِيون. ,
7/26/2021 9:10,ڏکڻ ايشيائي مندن تي گورن جون تحقيقون پڙھو. خوش ھجو ابا. ,
7/26/2021 8:58,منھنجا ڏاھا ادا، سارنگ ملهار جي ڪيفيت جو نالو آھي. بلڪل ائين جيئن سياري جي ڪيفيت سيءُ ٿئي يا… ,
7/26/2021 8:56,ملھاري مند جا ,
7/26/2021 8:27,اسان جا وڏا سمجهندا ھئا  اھي ٺيڪ ھئا. ,
7/24/2021 19:23,سلام آهي سڀنين جوڌن کي جيڪي سنڌ ڌرتيءَ جي حفاظت جي خاطر ملڪ رياض جھڙي ڀگهڙ جي سامهون نه جھڪيا  جيل ڪاٽي سرخرو ٿيا. ,
7/24/2021 17:36,انڌا مانجهي سير  اُبتا سُبتا ونجهه هڻي رهيا ها، جڏهن مون انهن کي چيو، ”اوهان سُتڙ ڇڏي اؤتڙ ڇو ٿا وڃو“ تڏهن هنن مون تي ونجهه… ,
7/24/2021 16:57,دریچوں کو تو دیکھو چلمنون کے راز تو سمجھو ,
7/24/2021 15:21,پيارا.. ڊاڪٽر نبي بخش بلوچ صاحب جن ان پهاڪي جي وضاحت ڪن ٿا تہ ڪميڻو ڇا ڄاڻي شرافت مان. ,
7/24/2021 14:13,پيارا سائين هي پورٽل اڃا ڊيٽا انٽريءَ جي مرحلن  آهي. خفي  نازڪيءَ وارو ڪم آهي. جڏهن… ,
7/24/2021 5:52,وائيءَ جي هڪ هڪ لفظ تي چيچ رکي ڏسندا تہ ان جي معنا سنڌيءَ  انگريزيءَ  اوهان کي ملندي. ,
7/23/2021 17:43,زندگي جو مقصد ,
7/23/2021 11:55,سائين  خادم اوهان جو. ,
7/23/2021 6:58,ظاہر ہے جہاں جسمانی ذہنی اور روحانی بلڈ گروپ اور کراس میچنگ ہوگی وہیں تو جوائن کرے گی ,
7/23/2021 6:56,بابا  وري روڪڻ جو ڏانءُ اچڻ وري وڏو ڪرم. ,
7/23/2021 6:55,ڳوٺن  الله ڏني کي خالي ڏنو يا الو سڏڻ  شھرن  وري الانا چوڻ مان اڃا نہ سمجهي نہ سگهيا آهيو تہ سنڌي ماڻهن عربي نال… ,
7/23/2021 6:44,سنڌي ٻوليءَ جا ھي انتھائي اوائلي ٻول پَڙ  پُڙ آھن. جن جو مطلب آھي ڍَڪُ. ,
7/23/2021 5:58,حب الوطني يا سڳيءَ ماءُ سان محبت ته ٻنڌڻن  نسربي آهي. ,
