tweet_date,tweet,sentiment,
7/11/2021 11:48,ٽنھي جا ايس ايس آھن  ,,
7/11/2021 11:45,ھوشياري جيلو ,,
7/11/2021 11:45,نو جھيڙو اوڪي.  ,,
7/11/2021 11:44,ايزي لوڊ، توکي ياد ناھي ,,
7/11/2021 11:44,ايس ايس بہ عاشق جي لاش وانگر ھتي رلندي ,,
7/11/2021 11:29,راڻي ڏي تہ ويھارو ھزار قرض آ. ,,
7/11/2021 11:15,مونسان جيڪا جھيڙو ڪندي تہ انھن جا ايزي لوڊ گھرڻ وارا سڀ ميسج مان ليڪ ڪندس  ,,
7/11/2021 10:18,وطن کی مٹی گواہ رہنا ,,
7/11/2021 10:17,ڪتابن وارو ,,
7/11/2021 10:15,وہ کیا ہوا تیرا وعدہ  ,,
7/11/2021 9:15,اڇا  ڪن تہ منھنجا بہ وڏا آھن ,,
7/11/2021 9:04,ماشاالله  ,,
7/11/2021 8:35,ان ڳالھ جي پسمنظر جي اسان کي خبر ئي ناھي  ,,
7/11/2021 8:32,پرک واز مائي فيورٽ ,,
7/11/2021 8:30,ھا پي ٽي وي تہ مان ڏسندو ھيس، پر ان وقت ننڍڙو ذھن ھو مزو نہ ڏيندا ھئا اھڙا پروگرام ,,
7/11/2021 8:28,ھاھاھاھاھاھاھا  ,,
7/11/2021 8:22,محب وطن ڪارڪنن  اڳواڻن کي آزاد ڪيو. ,,
7/10/2021 18:38,ايزي لوڊ کپي؟ ,,
7/10/2021 18:38,اھي ميسج وغيرہ ٻي پسمنظر  جڏھن ھنن ڪوري خلاف وڏي مھم ھلائي ھئي. ,,
7/10/2021 18:19,ھاھا  ,,
7/10/2021 18:19,پڇيائينس ته شادي ڪيتئي.. ,,
7/10/2021 18:17,بلڊ پريشر جي مريض کي غيرتي چوڻ  ,,
7/10/2021 18:15,گوڊ  ,,
7/10/2021 18:14,ھاھا  ,,
7/10/2021 18:12,ھتيت جيلو  ,,
7/10/2021 18:11,ھاھاھاھاھاھاھا ,,
7/10/2021 18:11, ,,
7/10/2021 18:10,سگريٽ ڏي تہ ٽوچن ڪيان ,,
7/10/2021 18:10,وات نه اک پٽ لاڙڪاڻو اٿئي. ,,
7/10/2021 18:07,ھاھاھاھاھاھاھا ,,
7/10/2021 17:43,صبح ۱۱ بجي ننڊ مان اٿي ,,
7/10/2021 17:41,قومي جوس  پتي ,,
7/10/2021 17:39,ھاھاھاھاھاھاھا ,,
7/10/2021 17:22,اسان ٻاھران شادي ناھيون ڪندا  ,,
7/10/2021 17:11,ڳالھ خدا ڪارڻي ڪري ,,
7/10/2021 17:10,پيٽ آھ يا لالو کھيت. ,,
7/10/2021 17:09,چانھ جي ڪوپ تي سڄي اخبار مفت  پڙھڻ ,,
7/10/2021 17:07,ھلا ٿي سنڌڙي انب ,,
7/10/2021 17:06,بابا چئي پيو، بابا گھر ناھي  ,,
7/10/2021 17:05,توهان منهنجو پهريون  اخري پيار آهيو  ,,
7/10/2021 17:05,نفیساتي بيمارين کي جِن ڀوت جو نالو ڏئي، پيرن فقيرن جي درگاھن تي حاضري ڏيڻ  تعويز ڪرائڻ ,,
7/10/2021 17:05,ھمراھہ اُٿئ ويٺئ وارو آھي ڪم چئونس متان ڪرائي ڏي ,,
7/10/2021 17:04,ھاھاھاھاھاھاھا  ,,
7/10/2021 17:04,عورتاڻي سنھڙي آواز تي ھرکجي اغوا ٿيندڙ جوڌا جوان ,,
7/10/2021 17:04,نياڻي ست قرآن ,,
7/10/2021 17:04,اهڙي گرميءَ  فريش ٽرينڊ ,,
7/10/2021 17:02,ھاھاھاھاھاھاھا  ,,
7/10/2021 17:01,ھاھاھاھاھاھاھا  ,,
7/10/2021 16:51,ھل پٽ ڪارو آن ,,
7/10/2021 16:49,مان ڪنھن کان ايزي لوڊ ناھيان وٺندي. ,,
7/10/2021 16:37,ٽٽرڙو ڇورو ,,
7/10/2021 16:26,ڀائو ننڍي ھوندي کان چريو آھين ,,
7/10/2021 16:23,ھاھاھاھاھاھاھا  ,,
7/10/2021 16:22,سنڌي اخبار اٽلي جي راڻي باغ  شينهن بيمار ,,
7/10/2021 16:22,ٻاھرين ملڪن  ھر مسئلي لا ڌرڻا  احتجاج ٿيندا آھن  اسان وٽ نئون ٽرينڊ ٿيندو آ ڀلي پو ڳوٺ  نيڪر خراب ھجي ان لا ميونس… ,,
7/10/2021 16:22,ڀائو دري واري سیٽ منھنجيُ آ  ,,
7/10/2021 16:22,پوءِ ڀلا توکي ڪھڙي نانگ کاڌو  ,,
7/10/2021 16:22,ڇورا ڇوريون پاسي ٿيو گھوٽ ما نچي ,,
7/10/2021 16:22,پرچي پوي يار تہ خيرات ڪنداسين ,,
7/10/2021 16:22,ٻه ڀائر ٽيون ليکو ,,
7/10/2021 16:19,نہ مير جو نہ پير جو ,,
7/10/2021 16:18,ھاھاھاھاھاھاھا ,,
7/10/2021 16:18,ھر اليڪشن جي مھم  ڀُٽي جا قاتل ڳولھي ڳولھي مارينداسين ,,
7/10/2021 16:06,ٿي تند وڙھي تلوارن سان ,,
7/10/2021 16:01,ھاھاھاھاھاھاھا ,,
7/10/2021 16:01,سنڌي اخبار ناري پولو ميچ ڏسندي ,,
7/10/2021 16:01,اسان وٽ بجلي صبح 6 وڳي ويندي آ، وري  11 وڳي ايندي آ، وري 2 وڳي ويندي آ، 3 وڳي ايندي آ، وري 5 وڳي ويندي آ، وري  8 وڳي ايندي… ,,
7/10/2021 16:01,جيڏانهين پير تيڏانهن خير ,,
7/10/2021 16:01,ست ڪلاڪ گلا ڪرڻ کانپو موڪلائڻ مھل پوڙھين جا آخري ,,
7/10/2021 16:01,بجليءَ چمڪو ڏنو هاڻي ڪونہ ايندي  ,,
7/10/2021 16:01,يارن سان ڪهڙا ليکا۔۔۔ ,,
7/10/2021 16:01,وڌي وڻ ٿي ويو آهي. سمجھايئس. ,,
7/10/2021 16:00,اسان جو پٽ اسان جي چئي  ناھي ,,
7/10/2021 15:35,نوجوان پراسرار بيماري  مبتلا ,,
7/10/2021 15:34,ٽن ڪپرن  گھران ڀڄي وئي ,,
7/10/2021 15:34,اخبار  ڌيان طلب ڳولي پڙھڻ ,,
7/10/2021 15:33,ساٿيو پهرين فتح جون مبارڪون هجن ,,
7/10/2021 15:33,.ماسي ٿوري دال جي ڀاڄي ته ڏجان اسان واڱڻ چاڙھيا آھن نٿا وڻن. ,,
7/10/2021 15:33,ڏي خبر پياري ڇا ڪندي ھوندي ,,
7/10/2021 15:33,ڪنهن لاءِ واڱڻ وائي ته ڪنهن لاءِ بصر بادي. ,,
7/10/2021 15:33,اچ چنڊ توکي گاڏي  گهمايان... ,,
7/10/2021 15:18,مائره جي انٽرنيشنل ڪافي ,,
7/10/2021 15:18,مونھ تي موسی اندر جو ابلیس ,,
7/10/2021 15:18,پرائي مال تي ٽوپي نراڙ ,,
7/10/2021 15:18,روڊ ٺهيل ناهن ,,
7/10/2021 15:18,ماء ته ادي ھن جي سفا بيلڇڻي آ. مان آڍيو مانس ته ڇوڪري جو نڪ نڪتو آ. ,,
7/10/2021 15:18,حق وڏا  ,,
7/10/2021 15:17,تون وڃي ڪريٽ کيڏ ,,
7/10/2021 15:17,جيڪو ڏاڍو سو گابو ,,
7/10/2021 15:17,ڇورا هيٺ لھ، ڪرين نہ، مڻڪو نہ ڀڄئي لانتي ,,
7/10/2021 15:17,ھن ٽريڪٽر وارن ب وڏو آزار ڪيو آ ,,
7/10/2021 15:17,اسان ڏي سنڌي زبان به مٺي هي تي سرائيڪي بي، ,,
7/10/2021 14:41,ماڪوڙي ء چارو جي مٿان ڪير ,,
7/10/2021 14:41,سمجھين ئين نٿو ، صڦا ڍڳو آھين ,,
7/10/2021 14:41,"امتحان لڳا پيا آھن. ويھي پڙھائي ڪر.  نه ته ""کڻان پادر"" ",,
7/10/2021 14:40,نوڪري ته سرڪاري ڪندم. نه ته نه ,,
7/10/2021 14:40,صفا تپيو پيو آ ,,
7/10/2021 14:40,ڪراچي سنڌ آهي ,,
7/10/2021 14:40,رت ئي پي ويو آهين ,,
7/10/2021 14:38,بي پي لوهه ٿي ويو آ.  ,,
7/10/2021 14:37,لوڪ لڏڻ تي چري اڏڻ تي ,,
7/10/2021 14:36,شڪارپوري صلاح ️ ,,
7/10/2021 14:36,چاچا جو آ دماغ خراب ,,
7/10/2021 14:36,وڏو آئين نواب غيبي جي خاندان مان ,,
7/10/2021 14:36,ان جي اڳ  سيٽنگ ھلي ٿي ,,
